scan_num	charge	abundance	mz	fit	average_mw	monoisotopic_mw	mostabundant_mw	fwhm	signal_noise	mono_abundance	mono_plus2_abundance	index
2260	2	784	478.7438	0.05	956.0524	955.473	955.473	0	0	0	0	1633
2265	2	2040	478.7437	0.005	956.0524	955.473	955.4729	0	0	0	0	1652
2277	2	4070	478.744	0.009	956.0529	955.4735	955.4734	0	0	0	0	1677
2280	2	4420	478.7445	0.035	956.0539	955.4745	955.4744	0	0	0	0	1693
2283	2	6480	478.7434	0.02	956.0516	955.4722	955.4722	0	0	0	0	1701
2286	2	3820	478.7452	0.005	956.0554	955.476	955.4759	0	0	0	0	1704
2292	2	4490	478.7452	0.005	956.0552	955.4758	955.4758	0	0	0	0	1708
2295	2	5460	478.744	0.01	956.0529	955.4734	955.4734	0	0	0	0	1725
2297	2	5450	478.744	0.029	956.053	955.4736	955.4735	0	0	0	0	1741
2300	2	4920	478.744	0.01	956.0529	955.4735	955.4734	0	0	0	0	1761
2313	2	3550	478.7438	0.011	956.0526	955.4731	955.4731	0	0	0	0	1792
2315	2	3120	478.744	0.031	956.0529	955.4734	955.4734	0	0	0	0	1811
2318	2	3000	478.744	0.04	956.0529	955.4735	955.4734	0	0	0	0	1833
2322	2	1800	478.7447	0.005	956.0544	955.475	955.4749	0	0	0	0	1857
2329	2	2090	478.7439	0.005	956.0526	955.4732	955.4732	0	0	0	0	1897
2332	2	1340	478.7446	0.004	956.0542	955.4748	955.4747	0	0	0	0	1920
2341	2	1320	478.744	0.005	956.053	955.4735	955.4735	0	0	0	0	1943
2343	2	1180	478.7439	0.005	956.0528	955.4733	955.4733	0	0	0	0	1966
2420	1	992	752.3585	0.016	751.8055	751.3512	751.3512	0	0	0	0	2334
2422	1	1200	752.359	0.005	751.8059	751.3517	751.3517	0	0	0	0	2352
2424	1	1170	752.3592	0.017	751.8061	751.3519	751.3519	0	0	0	0	2373
2430	1	1170	752.3592	0.013	751.8061	751.3519	751.3519	0	0	0	0	2396
2433	1	1570	660.3581	0.008	659.7506	659.3509	659.3508	0	0	0	0	2418
2433	1	1190	752.3597	0.008	751.8067	751.3524	751.3524	0	0	0	0	2420
2436	1	5320	660.3574	0.016	659.7499	659.3501	659.3501	0	0	0	0	2438
2439	1	5880	660.3579	0.01	659.7504	659.3507	659.3506	0	0	0	0	2450
2442	1	7090	660.3603	0.007	659.7528	659.3531	659.353	0	0	0	0	2461
2445	1	16800	660.3573	0.006	659.7498	659.35	659.35	0	0	0	0	2480
2448	1	19300	660.3574	0.007	659.7499	659.3501	659.3501	0	0	0	0	2500
2451	1	21000	660.3572	0.009	659.7497	659.3499	659.3499	0	0	0	0	2521
2454	1	23300	660.3571	0.004	659.7496	659.3498	659.3498	0	0	0	0	2538
2457	1	17400	660.3583	0.005	659.7508	659.3511	659.351	0	0	0	0	2560
2459	1	17100	660.361	0.012	659.7536	659.3538	659.3538	0	0	0	0	2579
2461	1	19300	660.3569	0.009	659.7494	659.3497	659.3496	0	0	0	0	2598
2463	1	14800	660.3572	0.004	659.7498	659.35	659.35	0	0	0	0	2618
2465	1	15400	660.3571	0.005	659.7496	659.3499	659.3498	0	0	0	0	2645
2468	1	13000	660.3577	0.012	659.7502	659.3505	659.3504	0	0	0	0	2657
2471	1	20700	660.3572	0.008	659.7497	659.35	659.3499	0	0	0	0	2669
2474	1	16400	660.3582	0.005	659.7507	659.351	659.351	0	0	0	0	2685
2476	1	24100	660.36	0.008	659.7525	659.3528	659.3527	0	0	0	0	2696
2479	1	17800	660.3581	0.012	659.7506	659.3508	659.3508	0	0	0	0	2718
2482	1	8690	660.3577	0.006	659.7502	659.3505	659.3504	0	0	0	0	2745
2484	1	3180	660.3583	0.005	659.7508	659.3511	659.351	0	0	0	0	2775
