Feature_Index	Scan	Scan_Start	Scan_End	Scan_Aligned	NET	Monoisotopic_Mass	Monoisotopic_Mass_Calibrated	Abundance	Class_Rep_MZ	Class_Rep_Charge
0	2874	2859	2889	2874	0.2086	595.345	595.345	14560	596.3519897	1
1	2906	2895	2921	2906	0.2110	622.30875	622.30875	50920	623.3162231	1
2	2517	2490	2636	2517	0.1827	630.33435	630.33435	5.7189800E+06	631.3414917	1
3	2584	2562	2602	2584	0.1876	637.28285	637.28285	229670	638.289917	1
4	3349	3333	3368	3349	0.2431	645.3705	645.3705	715830	646.3776245	1
5	2997	2983	3014	2997	0.2176	652.39155	652.39155	131510	653.3983765	1
6	4477	4459	4483	4477	0.3250	656.34945	656.34945	1.0762000E+06	657.3566284	1
7	2900	2883	2921	2900	0.2105	656.3504	656.3504	206210	657.3577881	1
8	4675	4667	4683	4675	0.3394	656.3596	656.3596	341900	657.3668823	1
9	2830	2808	2898	2830	0.2054	656.3616	656.3616	267970	657.3687744	1
10	2476	2433	2484	2476	0.1797	659.3505	659.3505	288130	660.3599854	1
11	3862	3851	3874	3862	0.2804	672.3813	672.3813	432600	673.3886108	1
12	5200	5121	5240	5200	0.3775	673.4165	673.4165	2.2121000E+07	674.4238281	1
13	4160	4149	4163	4160	0.3020	675.38135	675.38135	414600	676.3886108	1
14	3829	3811	3848	3829	0.2780	679.391	679.391	2.8274000E+06	680.3980713	1
15	3513	3503	3519	3513	0.2550	687.3554	687.3554	304900	688.362915	1
16	3094	3077	3130	3094	0.2246	687.3715	687.3715	597410	688.3792725	1
17	4313	4292	4338	4313	0.3131	688.3663	688.3663	6.4510000E+06	689.3734741	1
18	2679	2662	2688	2679	0.1945	689.37185	689.37185	263150	690.380127	1
19	2906	2889	2938	2906	0.2110	693.3459	693.3459	616420	694.3530884	1
20	3195	3173	3240	3195	0.2319	695.3726	695.3726	969600	696.3795776	1
21	5453	5444	5456	5453	0.3959	698.4696	698.4696	268000	699.4769287	1
22	4277	4263	4310	4277	0.3105	701.3715	701.3715	2.5113000E+06	702.378418	1
23	3618	3604	3621	3618	0.2626	704.3646	704.3646	193900	705.3717041	1
24	3823	3811	3835	3823	0.2775	704.3898	704.3898	628100	705.3972168	1
25	4247	4228	4258	4247	0.3083	706.3402	706.3402	663200	707.3474731	1
26	4500	4480	4538	4500	0.3267	706.3685	706.3685	7.1480000E+06	707.3754272	1
27	2622	2613	2630	2622	0.1903	707.31755	707.31755	14690	708.324707	1
28	5404	5386	5415	5404	0.3923	709.3553	709.3553	458600	710.3626709	1
29	5200	5176	5218	5200	0.3775	709.3583	709.3583	1.1363000E+07	710.3656006	1
30	5173	5158	5209	5173	0.3755	711.3707	711.3707	5.5900000E+07	712.3778076	1
31	4396	4379	4403	4396	0.3191	734.3969	734.3969	282100	735.4038086	1
32	3714	3645	3714	3714	0.2696	734.481	734.481	657700	735.4873047	1
33	5191	5170	5223	5191	0.3768	735.4279	735.4279	1.5923800E+07	736.4353027	1
34	3113	3097	3139	3113	0.2260	738.3561	738.3561	744930	739.362793	1
35	6252	6226	6404	6252	0.4539	747.4289	747.4289	1.1897250E+08	748.4354858	1
36	4909	4897	4938	4909	0.3564	749.3614	749.3614	4.2898000E+06	750.3690796	1
37	2422	2420	2433	2422	0.1758	751.3519	751.3519	5722	752.3590088	1
38	3116	3113	3124	3116	0.2262	752.3353	752.3353	20290	753.3432007	1
39	2991	2975	2994	2991	0.2171	752.3718	752.3718	12720	753.3790283	1
40	5610	5595	5629	5610	0.4073	760.3971	760.3971	1.8348000E+06	761.4044189	1
41	3851	3848	3859	3851	0.2796	761.4805	761.4805	176600	762.4876099	1
42	5560	5532	5589	5560	0.4036	764.3975	764.3975	9.1448000E+06	765.4047241	1
43	6093	6059	6138	6093	0.4423	764.3977	764.3977	2.1287800E+07	765.4049072	1
44	5365	5365	5386	5365	0.3895	764.42605	764.42605	341300	765.4329834	1
45	6053	6050	6076	6053	0.4394	774.4651	774.4651	463600	775.4724121	1
46	5980	5962	6065	5980	0.4341	778.442	778.442	5.5513000E+07	779.4492798	1
47	3237	3217	3252	3237	0.2350	779.3831	779.3831	342180	780.3900146	1
48	2935	2921	2938	2935	0.2131	780.4033	780.4033	17740	781.4099731	1
49	4160	4137	4211	4160	0.3020	788.465	788.465	2.3448900E+07	789.472229	1
50	2613	2593	2688	2613	0.1897	789.4243	789.4243	994630	790.4317017	1
51	5049	5025	5087	5049	0.3665	794.4109	794.4109	3.7316000E+07	795.4174805	1
52	5313	5305	5316	5313	0.3857	794.4363	794.4363	868000	795.4436035	1
53	3811	3800	3838	3811	0.2767	797.3577	797.3577	1.9952000E+06	798.3651733	1
54	2724	2668	2871	2724	0.1977	800.3787	800.3787	127905	401.1965027	2
55	5968	5939	5993	5968	0.4332	800.4947	800.4947	3.5444000E+07	401.2544861	2
56	3516	3494	3534	3516	0.2552	802.38235	802.38235	959900	803.3897095	1
57	4301	4292	4319	4301	0.3122	804.4249	804.4249	1.0026000E+06	403.219696	2
58	4527	4512	4554	4527	0.3286	805.4087	805.4087	5.2306000E+06	806.4163818	1
59	4242	4219	4310	4242	0.3079	805.4086	805.4086	1.7350200E+07	403.7114868	2
60	3307	3289	3333	3307	0.2401	805.4707	805.4707	637960	403.7424927	2
61	5631	5617	5731	5631	0.4088	806.40825	806.40825	1.5106000E+06	404.2112122	2
62	4327	4327	4347	4327	0.3141	810.4251	810.4251	123900	811.4326172	1
63	3403	3371	3435	3403	0.2470	812.43975	812.43975	5.2976000E+06	407.2269897	2
64	4280	4269	4298	4280	0.3107	814.4562	814.4562	648400	815.4633789	1
65	2915	2900	2958	2915	0.2116	817.4193	817.4193	498480	409.716095	2
66	2895	2886	2912	2895	0.2102	821.3967	821.3967	223370	411.7054138	2
67	3732	3717	3754	3732	0.2709	821.4402	821.4402	1.2415900E+07	411.7273865	2
68	3281	3258	3304	3281	0.2382	828.4349	828.4349	901060	415.2247009	2
69	3050	3027	3104	3050	0.2214	836.3675	836.3675	827900	419.1907959	2
70	4759	4733	4870	4759	0.3455	836.469	836.469	2.4804040E+08	419.2416992	2
71	4203	4192	4214	4203	0.3051	838.4919	838.4919	1.1609000E+06	420.2532043	2
72	5438	5404	5456	5438	0.3948	839.5233	839.5233	7.7473000E+06	420.7688904	2
73	6176	6170	6199	6176	0.4483	840.414	840.414	1.4278000E+06	841.4213867	1
74	4609	4545	4658	4609	0.3346	841.5025	841.5025	2.6407700E+07	421.7585144	2
75	5135	5115	5147	5135	0.3728	842.4862	842.4862	1.0707500E+07	422.2503052	2
76	3184	3170	3232	3184	0.2311	844.4564	844.4564	240210	423.2356873	2
77	3751	3732	3859	3751	0.2723	846.4969	846.4969	1.5030000E+07	424.2557068	2
78	4771	4759	4786	4771	0.3464	851.40265	851.40265	1.9522000E+06	852.4100952	1
79	4783	4777	4889	4783	0.3472	852.4642	852.4642	1.9087000E+06	427.239502	2
80	4624	4603	4704	4624	0.3357	855.5183	855.5183	6.9820000E+06	856.5302734	1
81	2947	2889	3014	2947	0.2139	855.5186	855.5186	485010	428.7663879	2
82	4543	4541	4562	4543	0.3298	860.4143	860.4143	890500	431.2145081	2
83	4815	4780	4955	4815	0.3495	867.4717	867.4717	1.4207740E+08	434.743103	2
84	4924	4886	4963	4924	0.3575	868.4447	868.4447	2.2561600E+07	435.2294922	2
85	4477	4459	4500	4477	0.3250	868.5019	868.5019	1.1868200E+07	435.2582092	2
86	5704	5681	5729	5704	0.4141	869.41925	869.41925	1.6567000E+07	435.7167969	2
87	5614	5595	5623	5614	0.4075	873.4813	873.4813	1.0016000E+06	874.4885864	1
88	5343	5327	5365	5343	0.3879	877.5027	877.5027	3.0323000E+06	439.7585144	2
89	4995	4989	5031	4995	0.3626	881.45035	881.45035	1.9009000E+06	882.4584961	1
90	4858	4836	4886	4858	0.3527	881.4511	881.4511	480100	441.7327881	2
91	5278	5245	5294	5278	0.3832	887.55965	887.55965	6.7499000E+06	444.7871094	2
92	4600	4557	4618	4600	0.3339	892.4085	892.4085	6.8339000E+06	447.2114868	2
93	4316	4301	4353	4316	0.3133	899.3785	899.3785	5.6706000E+06	450.6961975	2
94	5132	5090	5278	5132	0.3726	902.5592	902.5592	1.4778850E+08	452.286499	2
95	6214	6179	6305	6214	0.4511	903.46135	903.46135	4.0155100E+07	452.7376099	2
96	5729	5687	5799	5729	0.4159	903.461	903.461	4.7159200E+07	452.7374878	2
97	5313	5282	5412	5313	0.3857	906.5366	906.5366	7.2139300E+07	454.2753906	2
98	7777	7732	7782	7777	0.5646	907.4854	907.4854	579900	908.4926758	1
99	5634	5629	5644	5634	0.4090	912.4575	912.4575	590400	457.2358093	2
